"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MITOTIC_SPINDLE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_DNA_REPAIR","HALLMARK_G2M_CHECKPOINT","HALLMARK_APOPTOSIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_MYOGENESIS","HALLMARK_PROTEIN_SECRETION","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_COMPLEMENT","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_P53_PATHWAY","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_DN","HALLMARK_ANGIOGENESIS","HALLMARK_HEME_METABOLISM","HALLMARK_COAGULATION","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PEROXISOME","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_SPERMATOGENESIS","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_PANCREAS_BETA_CELLS"
"33","DUSP1","JUN","FASN","KIF4A","CCND2","LEFTY2","BAK1","ELL","NEK2","IGFBP6","Havenogene","YWHAG","FAM102A","BLVRB","B2M","TPM2","VAMP3","SAMD9","IFIH1","PTK2","ADAM10","VLDLR","CTSO","ATP6V0D1","RAF1","PSPH","RPA3","HNRNPR","PPRC1","THBS1","PTAFR","UPB1","HADHB","ATP5F1E","MPI","MGST1","RRAD","IGFBP2","PPARG","PRG2","SPTA1","MBL2","CD79B","MLYCD","ABCB1","IL4","CLPB","ETS1","PRODH","SST"
"34","MAP3K8","SERPINE1","LGALS3","MAPRE1","FRAT1","CDKN1C","EBI3","TAF10","KIF22","PRF1","Havenogene","NDUFAB1","MSMB","FLNB","MAP7","MYL2","ERGIC3","CMPK2","UBE2L6","HADH","BRCA1","OPHN1","CD40LG","PREB","CAMK4","NAMPT","SUV39H1","PSMB2","TCOF1","FAP","ADM","ECH1","ECHS1","COX5A","GNPDA1","ABCC1","DCXR","LYN","ADGRL2","JAG2","MAP2K3","F13B","AHR","ABCG8","ISOC1","TNF","CRISP2","MMP9","RYR1","ELP4"
"35","ETS2","LOX","ATF5","FGD6","CSNK1E","TRIM33","INHBE","RRM2B","HMMR","DAP","Havenogene","GPD2","STC2","PDCD4","DNAJB9","CKMT2","DOP1A","IFITM3","IFI27","LAMB3","GATA3","LDB1","CBLB","SEC31A","RPTOR","CDKN1A","TMPO","HPRT1","MCM5","BGN","PLAUR","PTGES","ACADS","UQCRC2","AKR1A1","FTL","NINJ1","CLTB","DLG1","LUM","BNIP3L","TIMP1","TNFRSF1B","AQP9","YWHAH","CD247","ZC2HC1C","WNT7A","GPR19","SRPRB"
"36","F3","GCK","ANXA5","BRCA2","RBPJ","RAB31","CRLF2","SUPT5H","KPNA2","CCND1","Havenogene","ADIG","RETREG1","CALCR","FKBP5","BIN1","VAMP4","RTP4","ADAR","CLDN11","AFAP1L2","DPYSL2","PDP1","GOSR2","CFL1","BHLHE40","UBE2T","MCM6","HK2","SERPINH1","NFKB1","PDK4","CA2","COX6A1","PPFIA4","ATOX1","FOS","BCL2L11","ATP2B4","CXCL6","SLC22A4","CTSV","NDRG1","ISOC1","EPHX2","IL2","AKAP4","IGFBP3","SLC29A3","PAK3"
"37","SDC4","PPFIA4","TP53INP1","PLK1","FZD8","TJP1","TNFRSF1B","RPA3","CDKN3","BTG3","Havenogene","ECHS1","SIAH2","IGFBP4","HERC3","MYH1","VPS4B","STAT2","LY6E","CDH4","IL2RG","Havenogene","C4BPB","SERP1","CDK4","HSPA9","WDR90","NME1","CBX3","FSTL1","INHBA","AHCY","HSD17B10","ATP5F1D","B3GAT1","STK25","S100A10","LHX2","NIPBL","Havenogene","CLIC2","MMP8","BCL2L1","NR1H4","ABCD1","HLA-DMA","CCNA1","SPP1","EDN2","G6PC2"
"38","EGR1","MAFF","CHKA","RASA1","TP53","SLC20A1","CD14","SNAPC5","CDC25A","F2R","Havenogene","QDPR","ZNF185","DNAJC12","PGM3","ENO3","NAPA","SAMD9L","STAT2","IRS1","CD160","Havenogene","PLEK","NFYB","TRAF2","HSPA5","CDK1","SNRPD1","PLK1","POSTN","OSM","COMT","ALDH1A1","COX6C","CHPF2","EGLN2","FBXW7","NFKBIA","PEX14","Havenogene","TRAK2","A2M","GABARAPL1","PEX19","HMGCL","STAT1","CCT6B","ETV1","GPRC5C","PKLR"
"39","IL6","DDIT4","GSTM2","NEK2","SKP2","CDK9","PTPN1","SSRP1","H2AX","SATB1","Havenogene","CS","SLC19A2","TIAM1","HOMER2","FLII","GNAS","LY6E","CXCL9","SORBS3","ADIPOR2","Havenogene","GP9","NHP2","GNGT1","EGLN3","MCM3","EEF1B2","PHB1","THY1","TNFSF10","AOX1","ACADVL","ATP5PF","G6PD","ERCC2","PLK3","MSX1","MYC","Havenogene","GCLC","MMP10","LIF","NPC1","ACSL5","IRF4","PACRG","CLEC4A","C5","LMO2"
"40","TNF","SLC2A3","ACAT2","WASF1","HEY2","ID3","PTPN2","RFC3","CDC25B","BNIP3L","Havenogene","ECH1","SLC1A4","TSPAN13","ELL2","FXYD1","STX7","IFITM2","IL10RA","CLDN8","SLC22A12","Havenogene","PLAUR","DCTN1","UBE2N","LGMN","TOP2A","HSPD1","MCM4","SPP1","TNFSF15","CFB","HSD17B4","NDUFB3","MDH2","SBNO2","XPC","H2AX","RASA2","Havenogene","KEL","MASP2","TIAM1","HSD17B11","ALDH9A1","SRGN","GSG1","CCND2","ZC2HC1C","SRP14"
"41","KDM6B","IGFBP3","AVPR1A","TOP2A","HEY1","NOG","IL1B","RPA2","PLK4","CASP4","Havenogene","SLC25A1","FHL2","CXCL12","UAP1","TPM3","SEC22B","HELZ2","PLA2G4A","EVL","NTNG1","Havenogene","C3","SLC7A5","ADCY2","PNP","MCM6","CAD","CDK4","TNC","IFNGR2","DDAH2","CA4","IDH3B","CHST6","JUNB","AK1","NR4A1","FZD2","Havenogene","RANBP10","FGG","BMPR2","AMACR","DHCR24","INHBA","THEG","TSPAN7","EDAR","Havenogene"
"42","NFKB1","NFIL3","PLSCR1","TRIO","HDAC11","ARID4B","CSF1","ELOA","CDC6","TNFRSF12A","Havenogene","ACADL","BCL2","RAB31","SEC24D","DMD","VPS45","CXCL11","TRIM21","CLDN15","SCUBE1","Havenogene","F2","SSR1","CDKN1B","XBP1","BIRC5","RPL18","DUSP2","TFPI2","ADGRE1","HGFAC","ADH1C","OGDH","PGLS","PTPA","TRIAP1","GLS","BMPR1A","Havenogene","TRIM10","C8A","MAP3K8","CYP46A1","ELOVL5","TLR3","HSPA4L","ITGBL1","KCNMB1","Havenogene"
"43","LIF","FOS","CLU","ARHGEF11","Havenogene","IFNGR2","IL18R1","TAF12","CCNF","CREBBP","Havenogene","TOB1","PMAIP1","PKP3","LMAN1","IGFBP3","STX16","TRIM21","USP18","THBS3","CX3CL1","Havenogene","CASP4","EDEM1","VAV3","SLA","CCNB2","PGK1","MYBBP1A","NID2","IL12B","F11","ADH7","NDUFB8","PGAM2","LSP1","BAK1","CDC34","LPAR1","Havenogene","TSPO2","PLAU","RHOB","PEX13","NUDT19","ZAP70","CST8","EMP1","TENT5C","Havenogene"
"44","PTX3","RBPJ","ERRFI1","KATNB1","Havenogene","ID2","TNF","NELFCD","MCM5","RHOB","Havenogene","GRPEL1","AREG","CYP26B1","PMEPA1","CHRNB1","YKT6","PARP14","PTGS2","NECTIN4","CROCC","Havenogene","STX4","EDC4","FGF6","DDX39A","RRM2","DDX18","UTP20","ITGB5","CSF1","CYP26A1","PTS","SURF1","CHST1","NDUFA6","CCND2","MMP14","PRKCA","Havenogene","UROS","ADAM9","MYC","IDH1","PRDX5","CD74","DCC","CDADC1","STAG3","Havenogene"
"45","FOSL1","HK1","TRIB3","PRC1","Havenogene","PPP1CA","PF4","TAF13","LMNB1","GPX3","Havenogene","CRAT","OVOL2","FKBP5","INPP4B","SPEG","SNX2","TRIM26","EPSTI1","JAM3","Havenogene","Havenogene","CTSC","EIF2AK3","ECSIT","HSPE1","HMGB2","RPS2","PRMT3","MMP3","CXCL6","MCCC2","MAOA","COX6B1","GPC1","HHEX","APAF1","STK25","MGMT","Havenogene","XK","GSN","S100A1","PEX11A","CTPS1","CD40","HSPA1L","KIF5C","KRT4","Havenogene"
"46","NR4A1","CITED2","CXCL16","ANLN","Havenogene","SPTBN1","CXCL13","TAF6","E2F3","PDGFRB","Havenogene","GBE1","TSKU","SIAH2","RRP12","FHL1","ARFGEF1","PARP12","C1S","CDH11","Havenogene","Havenogene","USP15","MTHFD2","RALB","ACLY","BUB1B","LDHA","FARSA","VIM","TNFRSF9","SERPINA6","HAO2","NDUFB5","GFUS","GLRX","PDGFA","PDAP1","PRKCE","Havenogene","SNCA","CAPN2","ETFBKMT","HSD17B6","IDE","TRAF2","GSTM3","TRIB2","SLC25A23","Havenogene"
"47","JAG1","ISG20","TNFRSF12A","CDK5RAP2","Havenogene","WWTR1","LTBR","TAF9","KIF15","TSPO","Havenogene","CAVIN2","ADCY9","ISG20","SELENOP","ACTN3","CLTA","NMI","RIGI","ITGB4","Havenogene","Havenogene","CR1","SRPRA","ARF1","SLC7A11","RFC3","RUVBL2","MAP3K6","LOXL1","LYN","GNMT","HSD17B7","NDUFA4","ALG1","NDUFS2","NDRG1","ABCB1","RXRA","Havenogene","MARK3","PLAT","CAPG","EPHX2","SLC23A2","B2M","DNAJB8","SDCCAG8","INSL5","Havenogene"
"48","CCL4","GALK1","ACTG1","SMC3","Havenogene","BCAR3","FAS","GTF2A2","CHEK1","CCND2","Havenogene","SCARB1","RASGRP1","TMPRSS3","NDRG1","TCAP","CLN5","RNF31","IL15","RASA1","Havenogene","Havenogene","DUSP6","NOLC1","MKNK1","SSR1","EZH2","RNPS1","LAS1L","FBLN5","ACVR2A","BLVRB","MCEE","NDUFB1","GFPT1","PRNP","RALGDS","BSG","LTBP1","Havenogene","UBAC1","FN1","ST3GAL4","PRDX5","PEX5","BCL3","IL13RA2","PCP4","GP1BA","Havenogene"
"49","GCH1","WSB1","JAG1","TUBGCP2","Havenogene","THBS1","IL17RA","VPS37D","UBE2S","XIAP","Havenogene","PEMT","MUC1","SERPINA3","KRT19","MYLK","M6PR","HLA-C","NLRC5","AKT2","Havenogene","Havenogene","SERPINB2","ERN1","CDK1","GLA","CHEK1","EIF2S1","PUS1","COL12A1","LDLR","HACL1","ACAT2","COX4I1","PRPS1","IPCEF1","SERPINB5","SELENOW","LDLR","Havenogene","CA1","CTSH","PENK","PXMP2","BCL10","LTB","CAMK4","CFHR2","KMT2D","Havenogene"
"50","CCL2","PYGM","LGMN","ESPL1","Havenogene","FNTA","CXCL10","NME1","NSD2","TIMP1","Havenogene","CHCHD10","KAZN","WFS1","ITGAV","MYL3","SGMS1","CASP1","NMI","TMEM8B","Havenogene","Havenogene","GPD2","FKBP14","PTEN","SQSTM1","SMC4","RANBP1","HSPE1","ELN","BDKRB1","MAOA","AUH","COX7C","GOT1","Havenogene","DGKA","IRF1","RBPMS","Havenogene","CA2","OLR1","IRF4","BBOX1","NR1I2","IFNGR1","LPIN1","ALDH1A2","ABCG4","Havenogene"
"51","RCAN1","STC1","FBXO6","MAP1S","Havenogene","HDAC1","IL9R","RNMT","HMGB3","CTNNB1","Havenogene","AK2","SLC27A2","MAPT","B4GALT1","PYGM","USO1","TRIM14","IDO1","LAMA3","Havenogene","Havenogene","CFH","ZBTB17","ARHGDIA","PDK1","MKI67","MCM5","SLC29A2","CDH11","HRH1","KYNU","HPGD","UQCRFS1","MDH1","Havenogene","CYFIP2","RXRB","CACNA1A","Havenogene","BSG","SPARC","CST7","FADS2","TSPO","CCR5","ZC3H14","NR0B2","MYH7","Havenogene"
"52","DUSP2","ZNF292","GPX8","ARHGAP27","Havenogene","UBE2D3","STAM2","ERCC2","DBF4","IRF1","Havenogene","APOE","FKBP4","PDLIM3","MAK","LDB3","TSG101","TDRD7","PSMB10","RSU1","Havenogene","Havenogene","FN1","WIPI1","GRK2","PSMC2","CDC20","IARS1","DCTPP1","COMP","F3","DHPS","FH","SDHC","SLC35A3","Havenogene","KLF4","TFRC","RGS4","Havenogene","FOXO3","RGN","WLS","ALDH9A1","CNBP","CD40LG","COIL","ALDH1A3","BRDT","Havenogene"
"53","EHD1","BTG1","PNRC1","DOCK4","Havenogene","LTBP2","TNFRSF12A","POLE4","TACC3","HSPB1","Havenogene","UQCR10","CXCL12","RBBP8","SPDEF","COX6A2","DNM1L","DHX58","CXCL11","ICAM1","Havenogene","Havenogene","CD36","YIF1A","FGF17","PRDX1","PLK1","UBE2E1","SUPV3L1","SPOCK1","BST2","SERPINE1","HMGCS2","ATP6V1F","GALK1","Havenogene","IP6K2","PPIF","COL5A2","Havenogene","KLF1","C8B","TLR7","APOA1","MSH2","HLA-DOA","PHKG2","AMMECR1","PTGFR","Havenogene"
"54","IER2","PLIN2","ANTXR2","SAC3D1","Havenogene","RHOA","STAT2","VPS37B","MCM2","ADD1","Havenogene","TANK","TMPRSS3","GJB3","GSR","FABP3","LMAN1","PARP9","ITGB7","CLDN18","Havenogene","Havenogene","CA2","CCL2","DDIT3","SERP1","KIF2C","MYC","SORD","BMP1","PTGIR","SLC6A12","ALAD","COX7A2","EGFR","Havenogene","ADA","CDKN1C","PTPN21","Havenogene","CDC27","LAMP2","IKZF4","OPTN","DHRS3","GLMN","KIF2C","SATB1","KCNN1","Havenogene"
"55","REL","CSRP2","MAL2","INCENP","Havenogene","Havenogene","HMOX1","NT5C3A","CDKN2C","TIMP2","Havenogene","ANGPTL4","RARA","PRLR","KRT8","MYL7","YIPF6","PNPT1","SAMHD1","GTF2F1","Havenogene","Havenogene","PSMB9","DKC1","IRAK4","TRIB3","DLGAP5","AP3S1","IMP4","IL32","CD55","GCH1","GPD1","SUCLG1","ANGPTL4","Havenogene","TNFSF9","HLA-F","PRKAR2B","Havenogene","KAT2B","C9","GBP4","GSTK1","DIO1","IL6","RPL39L","GUCY1A1","SELENOP","Havenogene"
"56","CFLAR","VLDLR","CD9","ARHGAP5","Havenogene","Havenogene","LEPR","SNAPC4","CDKN1B","BTG2","Havenogene","ACO2","IL17RB","SLC1A4","LIFR","ITGB5","ARFIP1","TRIM25","HERC6","TSC1","Havenogene","Havenogene","APOBEC3G","EIF4EBP1","TIAM1","NFIL3","AURKB","RFC4","GRWD1","LAMA3","CALCRL","DHRS7","ACO2","NDUFS6","CITED2","Havenogene","KLK8","CREG1","GJA1","Havenogene","NARF","PROS1","RGS16","ABCG4","SLC25A4","HLA-E","SLC2A5","CSF2","IFI44L","Havenogene"
"57","RIPK2","JMJD6","PPARG","GSN","Havenogene","Havenogene","CBL","AAAS","FANCC","TIMP3","Havenogene","FAH","CBFA2T3","FOS","PLPP1","CHRNA1","ANP32E","PSME1","CMPK2","LAMC2","Havenogene","Havenogene","FCN1","EIF4A1","CDK2","HMGCS1","CDC25A","DUT","UNG","TIMP1","CSF3","PAPSS2","CBR1","NDUFA7","PLOD2","Havenogene","PRKAB1","APOM","BCKDHB","Havenogene","GCLM","CLU","SPP1","ALDH8A1","PRDX1","CD2","PCSK4","APOD","PROP1","Havenogene"
"58","NFKBIE","EXT1","GLDC","NET1","Havenogene","Havenogene","CD9","POLR1H","NASP","LEF1","Havenogene","ACLY","TFF3","PLAAT3","STEAP4","SSPN","TSPAN8","WARS1","SAMD9L","NRAP","Havenogene","Havenogene","GZMK","EIF2S1","SFN","GOT1","TRIP13","PSMA4","MPHOSPH10","QSOX1","GPR132","ALDH2","GRHPR","FH","QSOX1","Havenogene","STOM","BMP2","DMAC2L","Havenogene","FBXO7","F2RL2","IL13","NR3C2","IDI1","CCL5","AURKA","TOR1AIP2","LGALS7","Havenogene"
"59","NR4A3","F3","STX5","LRPPRC","Havenogene","Havenogene","CXCL3","RFC4","STAG1","CASP1","Havenogene","IFNGR1","UGCG","SLC7A5","GUCY1A1","COL3A1","DST","EPSTI1","RTP4","CTNNA1","Havenogene","Havenogene","PDGFB","TATDN2","PRKCB","TPI1","H2AX","RPS3","Havenogene","TIMP3","IL4R","HSD11B1","ACOT2","NDUFV2","ME2","Havenogene","SOCS1","TGFBRAP1","SERPINE1","Havenogene","H1-0","CD9","SLC29A2","ABCA6","HRAS","FAS","MLLT10","CMKLR1","BMPR1B","Havenogene"
"60","PHLDA1","PDK3","STARD4","RABGAP1","Havenogene","Havenogene","TGFB1","ITPA","GINS2","GPX1","Havenogene","SLC5A6","CCND1","SERPINA5","SRP19","KCNH1","SCRN1","UBA7","PTPN2","CD99","Havenogene","Havenogene","CLU","XPOT","GNA14","ELOVL6","HMMR","SNRPG","Havenogene","VCAM1","NLRP3","SLC35B1","G0S2","OXA1L","SPAG4","Havenogene","PLK2","NAT1","AMPH","Havenogene","HEBP1","CFH","NFKBIZ","RETSAT","MVP","FASLG","NOS1","TMEM176B","PDK2","Havenogene"
"61","IER5","ANKZF1","CTNNB1","FLNB","Havenogene","Havenogene","MAP3K8","POM121","FBXO5","BCL10","Havenogene","JAGN1","SLC22A5","IMPA2","CCND3","GJA5","SEC31A","PSME2","PARP14","FSCN1","Havenogene","Havenogene","CASP10","LSM4","EIF4E","ASNS","E2F8","PHB2","Havenogene","CCN1","IL15RA","KARS1","MDH2","NDUFC1","P4HA2","Havenogene","CASP1","CYB5R1","MIOS","Havenogene","HBD","PREP","IL4R","FADS1","ABCC8","TLR6","ART3","ADGRA2","DCC","Havenogene"
"62","TNFSF9","UGP2","TMEM97","ARAP3","Havenogene","Havenogene","ITGA4","BRF2","POLQ","IGF2R","Havenogene","EPHX2","WFS1","DHCR7","IQGAP2","MYF6","VAMP7","B2M","TNFAIP2","COL16A1","Havenogene","Havenogene","LRP1","CHAC1","CLTC","PSMD14","BRCA1","SSB","Havenogene","EDIL3","ADORA2B","CA2","HSP90AA1","UQCR11","GAPDHS","Havenogene","RCHY1","RRAD","CITED2","Havenogene","NUDT4","LTA4H","MXD1","PECR","CLN6","PF4","CCNB2","LAPTM5","SNCB","Havenogene"
"63","GEM","ALDOB","NIBAN1","FGD4","Havenogene","Havenogene","CD38","RFC5","EZH2","CDC25B","Havenogene","IDH3G","PTGES","MYOF","RAB4A","MYH2","SCAMP3","TRIM5","IFITM2","GNAI2","Havenogene","Havenogene","CTSD","STC2","TSC2","PSMA4","MYBL2","EIF4H","Havenogene","CALD1","GCH1","LPIN2","BCKDHB","NDUFA5","ENO2","Havenogene","PCNA","POLE3","COL1A2","Havenogene","FBXO9","GP9","CSF2","PEX12","CAT","TGFB2","NPHP1","CD37","COL2A1","Havenogene"
"64","GADD45A","STC2","PDK3","ABR","Havenogene","Havenogene","JUN","SAC3D1","RAD21","AIFM3","Havenogene","GPX3","WWC1","CDH1","SLC26A2","MAPK12","AP2B1","C1S","PLSCR1","TGFBI","Havenogene","Havenogene","S100A9","PDIA5","FGF22","PPA1","POLD1","SRSF3","Havenogene","MAGEE1","OLR1","CAT","UROS","CS","GOT2","Havenogene","RPS27L","IL6","INSIG1","Havenogene","RAD23A","DUSP14","FAH","CAT","ACSL4","CD79A","CLGN","CAB39L","UGT2B17","Havenogene"
"65","CXCL10","ERRFI1","PLAUR","CENPJ","Havenogene","Havenogene","SOCS1","CLP1","STMN1","CD38","Havenogene","ELMOD3","CCN5","EMP2","SMS","PGAM2","RAB22A","LAP3","SOCS1","PALS1","Havenogene","Havenogene","WAS","NABP1","PPP1CA","HPRT1","RACGAP1","CCT4","Havenogene","FBLN1","PTGER2","CYP2S1","YWHAH","ATP6V1G1","EXT2","Havenogene","RB1","YKT6","FYN","Havenogene","CROCCP2","CTSK","CTSZ","GNMT","IDH2","INHBB","MAST2","CIDEA","NPY4R","Havenogene"
"66","PLK2","ENO3","SEMA3B","NCK1","Havenogene","Havenogene","ACVRL1","NME4","SUV39H1","PPP3R1","Havenogene","ORM1","MYC","OVOL2","ZMIZ1","MYOG","AP3B1","LAMP3","CASP1","JUP","Havenogene","Havenogene","BRPF3","LSM1","DUSP3","AURKA","CKS1B","TFDP1","Havenogene","SGCB","CSF3R","RAP1GAP","LDHA","ATP5PB","SLC25A13","Havenogene","PPP1R15A","ACAA1","WDR37","Havenogene","TMCC2","GDA","ITGAE","ABCA9","ABCC5","ELANE","MTOR","ZNF639","DLK2","Havenogene"
"67","BHLHE40","PNRC1","GNAI1","CENPF","Havenogene","Havenogene","PIM1","PRIM1","PRIM2","HGF","Havenogene","RETSAT","ITPK1","DLG5","SGK1","MYH4","TPD52","GBP4","ICAM1","ACTN2","Havenogene","Havenogene","PLAT","SDAD1","HSP90B1","HMGCR","KPNA2","EIF2S2","Havenogene","ECM1","MYC","FBP1","CRYZ","HCCS","HMMR","Havenogene","POLH","CLCN2","ZMIZ1","Havenogene","BLVRA","CASP9","MUC1","ACSL5","SOD2","SPI1","CDKN3","IL1B","WNT16","Havenogene"
"68","EGR2","HMOX1","ABCA2","KIF20B","Havenogene","Havenogene","TNFRSF21","VPS28","E2F1","CLU","Havenogene","ESRRA","TMEM164","SOX3","MERTK","AEBP1","ATP6V1H","NCOA7","WARS1","INSIG1","Havenogene","Havenogene","CDA","EIF4A2","IL4","GAPDH","MSH2","CDK4","Havenogene","LAMA2","RELA","RBP4","RDH16","HADHB","PDK3","Havenogene","RAB40C","AGO2","PMP22","Havenogene","GATA1","APOC1","MAPKAPK2","LONP2","SLC35B2","MAP3K7","ZNRF4","GYPC","SLC6A14","Havenogene"
"69","SOCS3","PGF","ATXN2","WASF2","Havenogene","Havenogene","PIK3R5","TSG101","CHAF1A","ATF3","Havenogene","HIBCH","ARL3","CHPT1","HPGD","HBEGF","GBF1","TMEM140","PSME1","LAYN","Havenogene","Havenogene","MT3","EIF4E","STAT2","DHFR","CDKN3","SNRPD3","Havenogene","FSTL3","TNFAIP6","GCKR","INMT","ATP5PD","CXCR4","Havenogene","ERCC5","SOD2","CDON","Havenogene","RBM38","CRIP2","TNFRSF21","DHCR24","FDPS","IL15","AGFG1","LY96","ITGB1BP2","Havenogene"
"70","SLC2A6","GAPDHS","NFIL3","MYH10","Havenogene","Havenogene","GRB2","USP11","NOLC1","LGALS3","Havenogene","SUCLG1","MED13L","KLK10","ANKH","MEF2C","KRT18","CD74","ISG20","PFN1","Havenogene","Havenogene","CASP7","IARS1","SLA","DHCR7","ATAD2","PSMD1","Havenogene","TPM2","IL7R","CDA","UGDH","PDHA1","GPC4","Havenogene","CDH13","PPP1R2","PIK3R3","Havenogene","PRDX2","KLK8","NT5E","ABCA8","ALB","CTSS","SNAP91","FLT4","SLC12A3","Havenogene"
"71","PTGER4","CHST2","ALCAM","CENPE","Havenogene","Havenogene","IRF1","TAF1C","GSPT1","LUM","Havenogene","STAT5A","SEMA3B","ELOVL5","GNAI3","NOS1","CAV2","GMPR","IRF2","CNN2","Havenogene","Havenogene","PRSS36","DDX10","EGFR","IMMT","RPA1","RACK1","Havenogene","INHBA","IL18","MTHFD1","GSTZ1","NDUFA8","ECD","Havenogene","DDIT3","RHOB","NOTCH2","Havenogene","RNF123","SERPINC1","FLT3LG","PFKM","FADS1","CD47","PSMG1","SPON1","YBX2","Havenogene"
"72","DUSP5","TMEM45A","FABP5","CYTH2","Havenogene","Havenogene","DNTT","TARBP2","BUB3","LMNA","Havenogene","ITGA7","KRT18","RAPGEFL1","SRF","CNN3","ATP1A1","PSMA3","TRIM14","TAOK2","Havenogene","Havenogene","PFN1","GEMIN4","PLA2G12A","UCHL5","STMN1","GOT2","Havenogene","DAB2","GABBR1","ADH7","IDH3B","DLD","GNE","Havenogene","TGFB1","RET","SYNJ2","Havenogene","MINPP1","ANXA1","CCND2","DIO1","STS","PRF1","CHFR","BMP2","CKM","Havenogene"
"73","SERPINB2","BCAN","S100A11","MID1","Havenogene","Havenogene","CSF2","POLH","SMC1A","GADD45B","Havenogene","MRAP","SLC16A1","JAK2","SLC38A2","IGFBP7","BNIP3","PROCR","FCGR1A","AMIGO2","Havenogene","Havenogene","GZMB","TARS1","MAPK10","YKT6","TIPIN","PABPC4","Havenogene","EMP3","CD82","DHRS1","MDH1","OPA1","B4GALT2","Havenogene","FUCA1","PDLIM3","SMAD7","Havenogene","TNS1","ITIH1","TRAF1","RXRA","SMARCC1","IL12RB1","TNP2","PLEK2","CPB1","Havenogene"
"74","NFIL3","ATF3","CPEB2","KLC1","Havenogene","Havenogene","IL2RA","CETN2","ILF3","CDK2","Havenogene","PLIN2","TJP3","SLC26A2","HMGCS1","CACNA1H","ZW10","IL7","MARCHF1","MDK","Havenogene","Havenogene","RNF4","ALDH18A1","CALR","INSIG1","TK1","CCT5","Havenogene","BASP1","TNFSF9","VNN1","CRAT","SLC25A11","FUT8","Havenogene","H2AC25","EPCAM","MAP1B","Havenogene","CTSE","PRSS23","LCLAT1","FDXR","ITGB1BP1","LCP2","EZH2","IGF2","MAGIX","Havenogene"
"75","SERPINE1","CAV1","Havenogene","MARK4","Havenogene","Havenogene","PTPN11","POLD1","CDC7","IFNB1","Havenogene","CYC1","SLC26A2","SLC22A5","ARID5B","GSN","GALC","IFI30","SOCS3","INPPL1","Havenogene","Havenogene","ZEB1","DDIT4","THEM4","SQLE","CDCA8","PRPS2","Havenogene","ITGA5","NMUR1","CNDP2","ETFDH","ATP5ME","MIOX","Havenogene","TP63","DNAJA1","TENT4A","Havenogene","DMTN","FBN1","IL3RA","TTR","SIAH1","SOCS1","HBZ","NR1H4","ARHGDIG","Havenogene"
"76","TRIB1","AMPD3","Havenogene","ARL8A","Havenogene","Havenogene","IL12RB1","CANT1","INCENP","RETSAT","Havenogene","ALDH2","FCMR","ITPK1","CDC14B","CACNG1","ADAM10","IRF2","JAK2","CLDN6","Havenogene","Havenogene","CASP5","HSPA9","RIT1","IGFBP5","ESPL1","ACP1","Havenogene","MGP","IL2RB","SLC6A6","CD36","PDHB","VCAN","Havenogene","HSPA4L","SULT1A1","PTEN","Havenogene","HDGF","MST1","CYFIP1","KLF1","SLC25A19","CDKN2A","ARL4A","SNAP25","CALML5","Havenogene"
"77","TIPARP","GPC3","Havenogene","CEP57","Havenogene","Havenogene","CCR1","PDE4B","CKS1B","SMAD7","Havenogene","RNF11","SULT2B1","PCP4","TNFAIP8","PPFIA4","RAB5A","CSF1","HLA-DMA","ARPC2","Havenogene","Havenogene","IRF1","SEC11A","MKNK2","IFI30","NCAPD2","PRPF31","Havenogene","VEGFA","TLR1","FETUB","ECI2","ATP5MF","GPC3","Havenogene","EPHX1","CHKA","DYRK1A","Havenogene","XPO7","F3","BCL2","SLC29A1","CDK7","STAT4","SLC12A2","ACE","KRT1","Havenogene"
