"","HALLMARK_TNFA_SIGNALING_VIA_NFKB","HALLMARK_HYPOXIA","HALLMARK_CHOLESTEROL_HOMEOSTASIS","HALLMARK_MITOTIC_SPINDLE","HALLMARK_WNT_BETA_CATENIN_SIGNALING","HALLMARK_TGF_BETA_SIGNALING","HALLMARK_IL6_JAK_STAT3_SIGNALING","HALLMARK_DNA_REPAIR","HALLMARK_G2M_CHECKPOINT","HALLMARK_APOPTOSIS","HALLMARK_NOTCH_SIGNALING","HALLMARK_ADIPOGENESIS","HALLMARK_ESTROGEN_RESPONSE_EARLY","HALLMARK_ESTROGEN_RESPONSE_LATE","HALLMARK_ANDROGEN_RESPONSE","HALLMARK_MYOGENESIS","HALLMARK_PROTEIN_SECRETION","HALLMARK_INTERFERON_ALPHA_RESPONSE","HALLMARK_INTERFERON_GAMMA_RESPONSE","HALLMARK_APICAL_JUNCTION","HALLMARK_APICAL_SURFACE","HALLMARK_HEDGEHOG_SIGNALING","HALLMARK_COMPLEMENT","HALLMARK_UNFOLDED_PROTEIN_RESPONSE","HALLMARK_PI3K_AKT_MTOR_SIGNALING","HALLMARK_MTORC1_SIGNALING","HALLMARK_E2F_TARGETS","HALLMARK_MYC_TARGETS_V1","HALLMARK_MYC_TARGETS_V2","HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION","HALLMARK_INFLAMMATORY_RESPONSE","HALLMARK_XENOBIOTIC_METABOLISM","HALLMARK_FATTY_ACID_METABOLISM","HALLMARK_OXIDATIVE_PHOSPHORYLATION","HALLMARK_GLYCOLYSIS","HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY","HALLMARK_P53_PATHWAY","HALLMARK_UV_RESPONSE_UP","HALLMARK_UV_RESPONSE_DN","HALLMARK_ANGIOGENESIS","HALLMARK_HEME_METABOLISM","HALLMARK_COAGULATION","HALLMARK_IL2_STAT5_SIGNALING","HALLMARK_BILE_ACID_METABOLISM","HALLMARK_PEROXISOME","HALLMARK_ALLOGRAFT_REJECTION","HALLMARK_SPERMATOGENESIS","HALLMARK_KRAS_SIGNALING_UP","HALLMARK_KRAS_SIGNALING_DN","HALLMARK_PANCREAS_BETA_CELLS"
"11","CXCL3","GPI","LDLR","RACGAP1","AXIN1","NCOR2","TYK2","ERCC3","NDC80","MCL1","DLL1","ACAA2","MLPH","RET","MAF","ACTC1","PPT1","IFI27","EIF2AK2","CTNND1","TMEM8B","THY1","F7","EXOSC5","GSK3B","TFRC","GINS4","BUB3","MYC","COL4A2","CCR7","NQO1","CYP4A11","SDHB","HK2","GCLM","SFN","EPHX1","IRS1","TNFRSF21","GYPE","F12","PHLDA1","PHYH","PEX11A","CRTAM","DDX25","ETV5","HTR1D","FOXA2"
"12","MAFF","MXI1","TM7SF2","PREX1","NKD1","SERPINE1","IL13RA1","DDB2","KIF11","IL1B","FZD5","ETFB","HSPB8","MYB","FADS1","MYOM1","AP3S1","IRF9","RSAD2","CDH1","THY1","SLIT1","CTSS","ASNS","MAP2K3","DDIT3","H2AZ1","EIF3D","SRM","VCAN","EDN1","ALAS1","DECR1","NNT","LDHA","TXN","ZMAT3","GRPEL1","PTPRM","CCND2","GYPC","CFI","IL2RB","SLC27A5","RETSAT","IFNG","PRM2","ITGB2","MAST3","GCK"
"13","NFKB2","SLC2A1","ALDOC","ARHGEF3","WNT5B","JUNB","TLR2","POLR1C","NUSAP1","SPTAN1","MAML2","ACOX1","EGR3","TPBG","ZBTB10","MYL4","BET1","OASL","MX2","LIMA1","PCSK9","CDK6","LGMN","ARFGAP1","CDKN1A","TMEM97","LIG1","XPO1","PA2G4","IGFBP3","CD40","GSTM4","ECH1","ATP5PO","EXT1","SOD2","DDB2","ICAM1","AKT3","COL5A2","EPB42","MMP2","CTLA4","CYP7B1","SLC27A2","CD3G","TCP11","AKT2","SLC6A3","MAFB"
"14","TNFAIP2","P4HA1","EBP","NUMA1","CUL1","SMAD1","IFNGR2","XPC","CKS2","DIABLO","NOTCH1","ACADM","KRT19","EGR3","HMGCR","MYBPH","CLCN3","EIF2AK2","IRF1","VCL","EPHB4","HEY2","PLG","WFS1","RAC1","IFRD1","MAD2L1","FBL","GNL3","TGFBI","CXCL9","CYP2C18","ECI1","ATP5MC3","SLC25A10","PRDX4","EI24","FEN1","SIPA1L1","ITGAV","SLC4A1","C3","NFIL3","CYP27A1","PEX13","CD86","PIAS2","PPBP","CLDN8","INS"
"15","HBEGF","ADM","SCD","SPTBN1","JAG1","SMAD6","IL10RB","PCNA","KIF2C","BAX","PSENEN","HADH","LRIG1","ARL3","SPCS3","MYH7","AP2S1","IFIT2","OAS3","SHROOM2","DCBLD2","NRP2","C1QA","SRPRB","RIPK1","PLOD2","MCM2","EIF4A1","NOLC1","SPARC","IL6","PTS","ELOVL5","NDUFS7","GUSB","SELENOS","PERP","ARRB2","NR1D2","SERPINA5","RHCE","F9","CD83","PEX26","PEX14","IL10","PAPOLB","G0S2","TGM1","PDX1"
"16","KLF6","P4HA2","PMVK","KIF2C","MAML1","PPP1R15A","IL6","POLR2I","MKI67","BIK","WNT5A","IDH1","KDM4B","OLFM1","INSIG1","MYH8","CLTC","CXCL10","TNFSF10","NECTIN3","GHRL","TLE3","CASP1","DNAJB9","AKT1S1","TUBA4A","MCM4","CANX","WDR43","LUM","IL1B","CYB5A","FABP1","ATP5F1A","PFKFB1","PDLIM1","DDIT4","JUNB","ATRN","KCNJ8","RHAG","CTSO","IKZF2","AGXT","SCP2","UBE2N","OAZ3","GABRA3","PCDHB1","ABCC8"
"17","BIRC3","ENO1","MVK","KIF5B","KAT2A","TGIF1","IL1R2","SUPT4H1","AURKB","IL1A","CUL1","SORBS1","PGR","NPY1R","NGLY1","ACTN2","AP2M1","TAP1","IRF9","NECTIN2","LYN","TLE1","GZMA","TSPYL2","ACTR2","PSAT1","MCM5","NAP1L1","RABEPK","LAMC1","TLR2","ACOX2","FABP2","NDUFV1","PGAM1","TXNRD2","ATF3","CTSV","ANXA2","APP","TAL1","TMPRSS6","IL10","PEX7","HSD3B7","BCL10","PHF7","IRF8","THRB","IAPP"
"18","PLAUR","PFKP","LPL","TTK","GNAI1","FURIN","IL3RA","POLD3","TPX2","BID","WNT2","ACADS","RHOBTB3","SCNN1A","UBE2J1","TNNI1","RER1","SP110","CXCL10","CLDN14","GAS1","L1CAM","ADAM9","NFYA","PRKAR2A","CORO1A","MCM7","CBX3","NOP16","LOX","IL1R1","EPHX1","HADH","COX5B","PYGB","LAMTOR5","BAX","DGAT1","ADD3","JAG1","MARCHF8","MMP9","TNFRSF18","CROT","GNPAT","CD4","ODF1","BIRC3","YPEL1","SRP9"
"19","ZFP36","AK4","SC5D","APC","WNT6","SMAD3","IFNAR1","POLR3GL","SMC4","CDKN1A","DTX4","UCK1","TPD52L1","XBP1","ELK4","CRYAB","KIF1B","DDX60","IFI44","PTPRC","FLOT2","PLG","CALM3","CALR","YWHAB","LDHA","MELK","CCT3","TBRG4","LAMC2","CD69","LCAT","HIBCH","UQCRH","AK4","G6PD","SESN1","ATF3","CDKN1B","COL3A1","SPTB","PROZ","DHRS3","CYP39A1","ABCD2","LCK","ACRBP","FGF9","RYR2","NEUROG3"
"20","ICAM1","FAM162A","FADS2","CEP250","PTCH1","FKBP1A","TNFRSF1A","POLR3C","BUB1","GADD45A","SAP30","SCP2","ELOVL2","AREG","ABCC4","SGCG","ARF1","UBE2L6","BST2","THY1","PLAUR","NKX6-1","C1QC","KHSRP","HRAS","MTHFD2","MMS22L","C1QBP","DDX18","CCN2","ICAM1","SLC35D1","HMGCL","NDUFA1","P4HA1","MSRA","FDXR","CASP3","ATXN1","SPP1","UROD","MMP1","ECM1","ABCA3","SLC25A17","NCK1","YBX2","DCBLD2","GDNF","FOXO1"
